52003698;ESC MUL PRUDENTE DE MORAIS;ITAPIRAPUA;RURAL;PUBLICA;76290-000;(62) 3374-1221;;
52003752;COLEGIO ESTADUAL MARECHAL RIBAS JUNIOR;ITAPIRAPUA;URBANA;PUBLICA;76293-000;(62) 3374-4073;-15.60834;-50.93672
52003760;COLEGIO RAIOS DE LUZ;JUSSARA;URBANA;PRIVADA;76270-000;(62) 3373-1172;;
52003779;COLEGIO EMILIANA RIBEIRO DE CASTRO;JUSSARA;URBANA;PRIVADA;76270-000;(62) 3373-1326;-15.86565;-50.86447
52003787;CENTRO DE ENSINO EM PERIODO INTEGRAL DOM BOSCO;JUSSARA;URBANA;PUBLICA;76270-000;(62) 3373-1552;-15.86830;-50.86749
52003795;ESCOLA AGRICOLA COMENDADOR JOAO MARCHESI;JUSSARA;URBANA;PUBLICA;76270-000;(62) 3373-1412;-15.87369;-50.83757
52003809;CENTRO DE ENSINO EM PERIODO INTEGRAL DOUTOR BRASIL RAMOS CAIADO;JUSSARA;URBANA;PUBLICA;76270-000;(62) 8530-4224;-15.86238;-50.86916
52003817;ESCOLA ESTADUAL GERCINA BORGES TEIXEIRA;JUSSARA;URBANA;PUBLICA;76270-000;(62) 9982-6535;-15.87207;-50.86981
52003825;ESCOLA ESTADUAL GUARIROBA;JUSSARA;RURAL;PUBLICA;76270-000;(62) 9948-1921;-15.73759;-51.46350
52003833;COLEGIO ESTADUAL JANDIRA PONCIANO DOS PASSOS;JUSSARA;URBANA;PUBLICA;76270-000;(62) 8634-9995;-15.86070;-50.86390
52003850;CEPMG UNIDADE MARIA TEREZA GARCIA NETA BENTO;JUSSARA;URBANA;PUBLICA;76270-000;;-15.88007;-50.87643
52003868;COLEGIO ESTADUAL MAL RONDON;JUSSARA;URBANA;PUBLICA;76270-000;;-15.92137;-51.32263
52003876;ESCOLA MUNICIPAL PROFESSORA DOLORES MARTINS;JUSSARA;URBANA;PUBLICA;76270-000;(62) 8634-3555;-15.86263;-50.86026
52003949;ESCOLA MUNICIPAL ESTEVAM FERNANDES REBOUCAS;JUSSARA;RURAL;PUBLICA;76270-000;(62) 3373-1003;-15.45933;-51.54433
52003973;ESCOLA MUNICIPAL FRANCISCO RODRIGUES REBOUCAS;JUSSARA;URBANA;PUBLICA;76270-000;(62) 9997-2870;-15.91108;-51.11001
52004023;ESCOLA MUNICIPAL LOURIVAL DE OLIVEIRA LOBO;JUSSARA;URBANA;PUBLICA;76270-000;(62) 3373-3546;-15.87634;-50.85126
52004040;ESCOLA MUNICIPAL NESTOR DE MACEDO NETO;JUSSARA;RURAL;PUBLICA;76270-000;;-15.80136;-51.40348
52004104;ESCOLA MUNICIPAL SORAYA SAIVA VILELA;JUSSARA;URBANA;PUBLICA;76270-000;(62) 3373-1070;-15.87705;-50.86459
52004236;CEIEMD - CENTRO DE EDUCACAO INFANTIL ESPIRITA MARIA DOLORES;JUSSARA;URBANA;PRIVADA;76270-000;(62) 3373-1334;-15.87413;-50.87093
52004260;COLEGIO ESTADUAL ALCIDES RAMOS JUBE;MATRINCHA;URBANA;PUBLICA;76730-000;(62) 9683-0158;-15.54263;-50.52841
52004279;CENTRO DE ENSINO EM PERIODO INTEGRAL ARTHUR DA COSTA E SILVA;MATRINCHA;URBANA;PUBLICA;76730-000;(62) 8632-0546;-15.43801;-50.74438
52004325;ESCOLA MUNICIPAL HELENA MARIA ANDRADE NEVES;MATRINCHA;URBANA;PUBLICA;76730-000;(62) 3391-1151;-15.44211;-50.74506
52004414;COLEGIO ESTADUAL GABRIEL JOSE DE MOURA;SANTA FE DE GOIAS;URBANA;PUBLICA;76265-000;(62) 3385-1024;-15.77108;-51.10556
52004457;ESC MUL CORA CORALINA;SANTA FE DE GOIAS;URBANA;PUBLICA;76265-000;(62) 3385-1141;;
52004511;ESCOLA MUNICIPAL SANTA RITA DE CASSIA;SANTA FE DE GOIAS;URBANA;PUBLICA;76265-000;(62) 8202-7045;;
52004562;CENTRO DE EDUCACAO DE JOVENS E ADULTOS DE ARAGARCAS;ARAGARCAS;URBANA;PUBLICA;76240-000;(64) 3638-1836;-15.90296;-52.24606
52004570;CENTRO DE ENSINO EM PERIODO INTEGRAL ARAGARCAS;ARAGARCAS;URBANA;PUBLICA;76240-000;(64) 3638-1945;-15.90489;-52.24855
52004589;CENTRO DE ENSINO EM PERIODO INTEGRAL DOUTOR RUBENS C DE AGUIRRE;ARAGARCAS;URBANA;PUBLICA;76240-000;;-15.90367;-52.24828
52004627;ESCOLA ESTADUAL LUIZ DIAS PAES LEME;ARAGARCAS;URBANA;PUBLICA;76240-000;(64) 3638-1717;-15.90525;-52.23776
52004643;COLEGIO ESTADUAL MELQUIADES VICTOR DE OLIVEIRA;ARAGARCAS;URBANA;PUBLICA;76240-000;;-15.89721;-52.23688
52004740;CMEF DOM BOSCO;ARAGARCAS;URBANA;PUBLICA;76240-000;(64) 3638-1892;-15.90294;-52.24543
52004759;CMEB SEBASTIAO GRANJA;ARAGARCAS;URBANA;PUBLICA;76240-000;(64) 3638-1892;-15.90489;-52.23348
52004791;CMEB PROF LAURITA MARTINS DE SOUZA;ARAGARCAS;URBANA;PUBLICA;76240-000;(64) 3638-1892;-15.89485;-52.23884
52004805;COLEGIO ESTADUAL ALFREDO NASSER;ARENOPOLIS;URBANA;PUBLICA;76235-000;(64) 3667-1233;-16.38737;-51.55647
52004813;ESC MUL ANTONIO REZENDE MONTEIRO;ARENOPOLIS;URBANA;PUBLICA;76235-000;(64) 3667-1166;-16.09078;-51.74245
52004821;ESC MUL CIRANDINHA;ARENOPOLIS;URBANA;PUBLICA;76235-000;(64) 8101-9161;-16.38744;-51.56129
52004856;COLEGIO MUL MANOEL AMANCIO;ARENOPOLIS;URBANA;PUBLICA;76235-000;(64) 3667-1141;-16.38665;-51.56088
52004910;COLEGIO ESTADUAL DONA DOQUINHA;BALIZA;URBANA;PUBLICA;76250-000;;-16.19727;-52.54149
52004929;ESCOLA ESTADUAL DR JOSE FELICIANO FERREIRA;BALIZA;URBANA;PUBLICA;76250-000;(64) 3660-1152;-16.19605;-52.54427
52004945;ESC MUL BANDEIRANTE;BALIZA;RURAL;PUBLICA;76250-000;(64) 3406-1350;-16.19971;-52.54508
52005054;ESCOLA MUNICIPAL MARIA CONCEICAO;BALIZA;URBANA;PUBLICA;76250-000;(64) 3660-1135;-16.19976;-52.54526
52005097;COLEGIO ESTADUAL LEONIDIO CASTRO E SILVA;BOM JARDIM DE GOIAS;URBANA;PUBLICA;76245-000;;-16.20520;-52.17354
52005100;COLEGIO ESTADUAL ANA RITA DE FARIA;BOM JARDIM DE GOIAS;URBANA;PUBLICA;76245-000;(64) 3657-1672;-16.19717;-52.17907
52005291;ESCOLA PART LINHA ALEGRE;BOM JARDIM DE GOIAS;URBANA;PRIVADA;76245-000;(64) 3657-1293;-16.20489;-52.17279
52005313;ESCOLA MUNICIPAL DIMAS NASSER;BOM JARDIM DE GOIAS;URBANA;PUBLICA;76245-000;(64) 3657-1414;-16.19956;-52.17274
52005321;COLEGIO ESTADUAL DONA EVA;DIORAMA;URBANA;PUBLICA;76260-000;(64) 3689-1323;-16.23687;-51.25893
52005330;ESCOLA MUNICIPAL ANTONIO MENDES;DIORAMA;URBANA;PUBLICA;76260-000;(64) 3689-1373;-16.23443;-51.25814
52005372;ESCOLA MUNICIPAL GUANABARA;DIORAMA;RURAL;PUBLICA;76260-000;(64) 3689-1338;-16.16317;-51.47005
52005496;ESCOLA MUNICIPAL DR MIGUEL FERREIRA LIMA;MONTES CLAROS DE GOIAS;URBANA;PUBLICA;76255-000;(62) 3370-1371;-15.99739;-51.39158
52005500;COLEGIO ESTADUAL FRANCISCO MODESTO DA SILVA;MONTES CLAROS DE GOIAS;URBANA;PUBLICA;76255-000;;-16.00271;-51.39216
52005518;CENTRO DE ENSINO EM PERIODO INTEGRAL JOSE DILMA MACIEL;MONTES CLAROS DE GOIAS;URBANA;PUBLICA;76255-000;(62) 3370-1028;-16.00977;-51.40117
52005534;ESCOLA MUNICIPAL CAIAPO;MONTES CLAROS DE GOIAS;RURAL;PUBLICA;76255-000;(62) 3370-1231;-16.17932;-51.58639
52005542;ESCOLA MUNICIPAL CASTELO BRANCO;MONTES CLAROS DE GOIAS;RURAL;PUBLICA;76255-000;;;
52005593;ESCOLA MUNICIPAL PROFESSOR JOSE ROSA DE OLIVEIRA;MONTES CLAROS DE GOIAS;RURAL;PUBLICA;76255-000;;-15.88971;-51.78208
52005640;ESCOLA MUNICIPAL JOAQUIM JOSE DE OLIVEIRA;MONTES CLAROS DE GOIAS;RURAL;PUBLICA;76255-000;;;
